网址,与用户建立连接所使用的加密算法,有效期,证书签名算法,颁发者完整名称,被颁发人完整名称,证书持有者公钥算法,证书持有者可选名称
https://www.hku.hk/,"TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,256位秘钥，TLS 1.2",2018年1月10日—2020年10月1日,SHA-256 RSA 加密,"CN = GeoTrust RSA CA 2018
OU = www.digicert.com
O = DigiCert Inc
C = US
","CN = *.hku.hk
OU = Information Technology Services
O = The University of Hong Kong
L = Hong Kong
C = HK", RSA 加密,"非关键
DNS 名称: *.hku.hk
DNS 名称: hku.hk"
https://soh.hku.hk/,"The connection to this site uses TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_256_CBC with HMAC-SHA1 (an obsolete cipher).",?2018?年?1?月?10?日 8:00:00 ?2020?年?10?月?1?日 20:00:00,sha256RSA,"CN = GeoTrust RSA CA 2018
OU = www.digicert.com
O = DigiCert Inc
C = US
","CN = *.hku.hk
OU = Information Technology Services
O = The University of Hong Kong
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.hku.hk
DNS Name=hku.hk
"
http://www.ziri.hku.hk/,,,,,,,
https://hkuspace.hku.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_256_GCM (a strong cipher).",?2019?年?5?月?30?日 14:48:15 ?2021?年?7?月?21?日 14:53:38,sha256RSA,"CN = Go Daddy Secure Certificate Authority - G2
OU = http://certs.godaddy.com/repository/
O = GoDaddy.com, Inc.
L = Scottsdale
S = Arizona
C = US","CN = *.hkuspace.hku.hk
OU = Domain Control Validated", RSA 加密,"DNS Name=*.hkuspace.hku.hk
DNS Name=hkuspace.hku.hk
"
https://www.med.hku.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_256_GCM (a strong cipher).",?2019?年?8?月?25?日 7:35:52 ?2019?年?11?月?23?日 7:35:52,sha256RSA,"CN = Let's Encrypt Authority X3
O = Let's Encrypt
C = US",CN = www.med.hku.hk, RSA 加密,DNS Name=www.med.hku.hk
https://www.alumni.hku.hk/,"The connection to this site uses TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_256_CBC with HMAC-SHA1 (an obsolete cipher).",?2018?年?1?月?10?日 8:00:00 ?2019?年?12?月?31?日 20:00:00,sha256RSA,"CN = GeoTrust RSA CA 2018
OU = www.digicert.com
O = DigiCert Inc
C = US
",CN = www.alumni.hku.hk, RSA 加密,DNS Name=www.alumni.hku.hk
https://idendron.hku.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_256_GCM (a strong cipher).",?2019?年?7?月?24?日 19:40:58 ?2019?年?10?月?22?日 19:40:58,sha256RSA,"CN = Let's Encrypt Authority X3
O = Let's Encrypt
C = US",CN = idendron.hku.hk, RSA 加密,DNS Name=idendron.hku.hk
https://tl.hku.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_256_GCM (a strong cipher).",?2019?年?9?月?24?日 9:20:35 ?2019?年?12?月?23?日 9:20:35,sha256RSA,"CN = Let's Encrypt Authority X3
O = Let's Encrypt
C = US",CN = tl.hku.hk, RSA 加密,DNS Name=tl.hku.hk
https://www.wellbeing.hku.hk/,"The connection to this site uses TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_256_CBC with HMAC-SHA1 (an obsolete cipher).",?2019?年?8?月?19?日 12:47:37 ?2020?年?10?月?13?日 15:18:00,sha256RSA,"CN = Go Daddy Secure Certificate Authority - G2
OU = http://certs.godaddy.com/repository/
O = GoDaddy.com, Inc.
L = Scottsdale
S = Arizona
C = US","CN = www.doremifa.edu.hk
OU = Domain Control Validated", RSA 加密,"DNS Name=www.doremifa.edu.hk
DNS Name=doremifa.edu.hk
DNS Name=www.depression.edu.hk
DNS Name=www.outofthedark.edu.hk
DNS Name=www.wellbeing.hku.hk
DNS Name=www.gooley.edu.hk
"
https://www.ke.hku.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_256_GCM (a strong cipher)
",?2019?年?7?月?24?日 14:17:22 ?2019?年?10?月?22?日 14:17:22,sha256RSA,"CN = Let's Encrypt Authority X3
O = Let's Encrypt
C = US",CN = www.ke.hku.hk, RSA 加密,DNS Name=www.ke.hku.hk
