网址,与用户建立连接所使用的加密算法,有效期,证书签名算法,颁发者完整名称,被颁发人完整名称,证书持有者公钥算法,证书持有者可选名称
https://www.ln.edu.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
https://www.ln.edu.hk/socsc/contact-us.php,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
https://www.ln.edu.hk/ors/kt-heritage-arts-culture.php,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
https://fs.ln.edu.hk,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with X25519 (a strong key exchange), and AES_256_GCM (a strong cipher).",?2019?年?5?月?28?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=fs.ln.edu.hk
DNS Name=ln.edu.hk
"
https://www.ln.edu.hk/about-lu/structure-and-organisation/faculties-and-departments,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
https://www.ln.edu.hk/reg/registry-services/retitle.php,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
https://www.ln.edu.hk/socsp/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
https://www.ln.edu.hk/scienceunit/contact.php,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
https://www.ln.edu.hk/about-lu/structure-and-organisation/faculties-and-departments,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2 High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
https://www.ln.edu.hk/visual/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2019?年?5?月?22?日 8:00:00 ?2021?年?8?月?19?日 20:00:00,sha256RSA,"CN = DigiCert SHA2High Assurance Server CA
OU = www.digicert.com
O = DigiCert Inc
C = US","CN = *.ln.edu.hk
OU = ITSC
O = Lingnan University
L = Hong Kong
C = HK", RSA 加密,"DNS Name=*.ln.edu.hk
DNS Name=ln.edu.hk
DNS Name=www.ln.edu.hk
"
