网址,与用户建立连接所使用的加密算法,有效期,证书签名算法,颁发者完整名称,被颁发人完整名称,证书持有者公钥算法,证书持有者可选名称
https://www.ust.hk/senior-adm,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?5?月?17?日 8:00:00 ?2020?年?5?月?17?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = www.ust.hk
OU = PositiveSSL
OU = Domain Control Validated", RSA 加密,"DNS Name=www.ust.hk
DNS Name=ust.hk
"
http://www.rmbi.ust.hk/web/eng/index.php,,,,,,,
http://www.rmbi.ust.hk/web/eng/index.php,,,,,,,
https://huma.ust.hk/,"The connection to this site uses TLS 1.2 (a strong protocol), ECDHE_RSA with P-384 (a strong key exchange), and AES_256_CBC with HMAC-SHA1 (an obsolete cipher).",?2018?年?12?月?18?日 8:00:00 ?2020?年?12?月?18?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = huma.ust.hk
OU = PositiveSSL
OU = Domain Control Validated", RSA 加密,"DNS Name=huma.ust.hk
DNS Name=www.huma.ust.hk
"
https://www.bri.ust.hk/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?9?月?21?日 8:00:00 ?2020?年?9?月?21?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = www.bri.ust.hk
OU = PositiveSSL
OU = Domain Control Validated", RSA 加密,"DNS Name=www.bri.ust.hk
DNS Name=bri.ust.hk
"
https://25a.ust.hk/eng/index.php,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?7?月?30?日 8:00:00 ?2020?年?7?月?30?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = 25a.ust.hk
OU = PositiveSSL
OU = Domain Control Validated", RSA 加密,"DNS Name=25a.ust.hk
DNS Name=www.25a.ust.hk
"
https://www.ust.hk/media/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?5?月?17?日 8:00:00 ?2020?年?5?月?17?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = www.ust.hk
OU = PositiveSSL
OU = Domain Control Validated", RSA 加密,"DNS Name=www.ust.hk
DNS Name=ust.hk
"
http://praise.ust.hk/,,,,,,,
https://www.ust.hk/research/,"The connection to this site is encrypted and authenticated using TLS 1.2 (a strong protocol), ECDHE_RSA with P-256 (a strong key exchange), and AES_128_GCM (a strong cipher).",?2018?年?5?月?17?日 8:00:00 ?2020?年?5?月?17?日 7:59:59,sha256RSA,"CN = COMODO RSA Domain Validation Secure Server CA
O = COMODO CA Limited
L = Salford
S = Greater Manchester
C = GB","CN = www.ust.hk
OU = PositiveSSL
OU = Domain Control Validated", RSA 加密,"DNS Name=www.ust.hk
DNS Name=ust.hk
"
http://hkustemba.ust.hk/,,,,,,,
